issueType,status_issues,priority,storyPoint,issueLinks,blockedBy,blocks,votes,watchcount,subtasks,status_summary,priorityId,initialStoryPoint,currentStoryPoint,assignee_summary,sprintId,sprintName,sprintState,sprintStartDate,sprintEndDate,totalNumberOfIssues,completedIssuesCount,puntedIssues,issuesNotCompletedInCurrentSprint,completedIssuesEstimateSum,puntedIssuesEstimateSum,NoOfDevelopers,SprintLength
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,2.0,2.0,,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,2.0,2.0,pharris,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,Completed,4.0,2.0,2.0,zteve,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Story,Done,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,Punted,4.0,0.0,0.0,iperumal,92.0,Sprint 55,CLOSED,5-Aug-15,19-Aug-15,72.0,25.0,22.0,0.0,102.0,51.0,14.0,13.0
Story,Done,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,Punted,4.0,3.0,3.0,iperumal,94.0,Sprint 56,CLOSED,19-Aug-15,2-Sep-15,60.0,21.0,18.0,1.0,83.0,58.0,14.0,13.0
Story,Done,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,3.0,3.0,iperumal,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,2.0,2.0,jvalkeal,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,4.0,1.0,1.0,zteve,92.0,Sprint 55,CLOSED,5-Aug-15,19-Aug-15,72.0,25.0,22.0,0.0,102.0,51.0,14.0,13.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,1.0,1.0,zteve,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,4.0,2.0,2.0,zteve,92.0,Sprint 55,CLOSED,5-Aug-15,19-Aug-15,72.0,25.0,22.0,0.0,102.0,51.0,14.0,13.0
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,2.0,2.0,zteve,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,2.0,2.0,zteve,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,2.0,2.0,zteve,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Story,Done,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,3.0,3.0,iperumal,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,1.0,1.0,jvalkeal,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,1.0,1.0,hillert,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,2.0,2.0,eric.bottard,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Bug,Done,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,3.0,2.0,2.0,pharris,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,1.0,1.0,mark.fisher,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Improvement,Done,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,3.0,3.0,iperumal,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Bug,Done,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,CompletedInNotherSprint,4.0,2.0,2.0,thomas.risberg,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Punted,4.0,2.0,2.0,pharris,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,2.0,2.0,pharris,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,4.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,8.0,8.0,eric.bottard,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,4.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,8.0,8.0,mbogoevici,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,2.0,2.0,hillert,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Bug,Done,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,3.0,3.0,pharris,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,4.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,Punted,4.0,8.0,8.0,iperumal,90.0,Sprint 54,CLOSED,22-Jul-15,5-Aug-15,32.0,17.0,7.0,0.0,71.0,35.0,12.0,13.0
Story,Done,4.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,8.0,8.0,iperumal,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,3.0,2.0,2.0,hillert,92.0,Sprint 55,CLOSED,5-Aug-15,19-Aug-15,72.0,25.0,22.0,0.0,102.0,51.0,14.0,13.0
Story,Done,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,3.0,2.0,2.0,hillert,94.0,Sprint 56,CLOSED,19-Aug-15,2-Sep-15,60.0,21.0,18.0,1.0,83.0,58.0,14.0,13.0
Story,Done,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,3.0,2.0,2.0,hillert,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,5.0,5.0,thomas.risberg,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Bug,Done,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,2.0,2.0,grussell,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,3.0,1.0,1.0,hillert,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,3.0,3.0,thomas.risberg,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,1.0,1.0,dturanski,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,4.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,3.0,3.0,dturanski,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,4.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,Punted,4.0,3.0,3.0,iperumal,92.0,Sprint 55,CLOSED,5-Aug-15,19-Aug-15,72.0,25.0,22.0,0.0,102.0,51.0,14.0,13.0
Story,Done,4.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,Completed,4.0,3.0,3.0,iperumal,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,1.0,1.0,thomas.risberg,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,2.0,2.0,hillert,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Bug,Done,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,1.0,1.0,hillert,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,5.0,5.0,eric.bottard,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,3.0,3.0,grenfro,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Bug,Done,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,1.0,3.0,3.0,thomas.risberg,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,2.0,3.0,mark.fisher,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,4.0,5.0,5.0,mminella,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,5.0,5.0,mminella,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Story,Done,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,4.0,0.0,0.0,grenfro,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,0.0,0.0,grenfro,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Bug,Done,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,3.0,3.0,3.0,thomas.risberg,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Bug,Done,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,3.0,3.0,3.0,thomas.risberg,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Story,Done,4.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,3.0,3.0,mark.fisher,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Bug,Done,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Punted,4.0,2.0,2.0,mbogoevici,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Bug,Done,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Punted,4.0,2.0,2.0,mbogoevici,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Bug,Done,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,2.0,2.0,mbogoevici,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,4.0,0.0,0.0,dturanski,94.0,Sprint 56,CLOSED,19-Aug-15,2-Sep-15,60.0,21.0,18.0,1.0,83.0,58.0,14.0,13.0
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,4.0,0.0,0.0,dturanski,95.0,Sprint 57,CLOSED,2-Sep-15,16-Sep-15,59.0,28.0,15.0,0.0,83.0,51.0,13.0,15.0
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,4.0,0.0,0.0,dturanski,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,2.0,2.0,dturanski,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Bug,Done,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,3.0,3.0,grussell,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,4.0,1.0,1.0,sabby,94.0,Sprint 56,CLOSED,19-Aug-15,2-Sep-15,60.0,21.0,18.0,1.0,83.0,58.0,14.0,13.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,1.0,1.0,sabby,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Story,Done,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,5.0,5.0,grussell,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,2.0,2.0,grussell,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Bug,Done,3.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,Completed,3.0,3.0,3.0,thomas.risberg,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Story,Done,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,3.0,3.0,mark.fisher,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Story,Done,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,3.0,3.0,mark.fisher,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,2.0,1.0,mark.fisher,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Story,Done,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,3.0,3.0,mbogoevici,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Story,Done,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,0.0,0.0,aclement,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Story,Done,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,2.0,2.0,thomas.risberg,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Story,Done,4.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,2.0,2.0,hillert,99.0,Sprint 60,CLOSED,19-Oct-15,31-Oct-15,70.0,27.0,21.0,0.0,78.0,77.0,13.0,11.0
Bug,Done,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,CompletedInNotherSprint,4.0,1.0,1.0,grussell,99.0,Sprint 60,CLOSED,19-Oct-15,31-Oct-15,70.0,27.0,21.0,0.0,78.0,77.0,13.0,11.0
Story,Done,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,3.0,8.0,8.0,grenfro,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Story,Done,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,3.0,8.0,8.0,grenfro,99.0,Sprint 60,CLOSED,19-Oct-15,31-Oct-15,70.0,27.0,21.0,0.0,78.0,77.0,13.0,11.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,4.0,1.0,1.0,pharris,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,1.0,1.0,pharris,99.0,Sprint 60,CLOSED,19-Oct-15,31-Oct-15,70.0,27.0,21.0,0.0,78.0,77.0,13.0,11.0
Story,Done,4.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,Punted,4.0,5.0,5.0,grussell,98.0,Sprint 59,CLOSED,5-Oct-15,17-Oct-15,59.0,17.0,21.0,0.0,41.0,85.0,15.0,11.0
Story,Done,4.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,5.0,5.0,grussell,99.0,Sprint 60,CLOSED,19-Oct-15,31-Oct-15,70.0,27.0,21.0,0.0,78.0,77.0,13.0,11.0
Story,Done,4.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,Completed,4.0,2.0,2.0,eric.bottard,99.0,Sprint 60,CLOSED,19-Oct-15,31-Oct-15,70.0,27.0,21.0,0.0,78.0,77.0,13.0,11.0
Story,Done,4.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,8.0,8.0,eric.bottard,99.0,Sprint 60,CLOSED,19-Oct-15,31-Oct-15,70.0,27.0,21.0,0.0,78.0,77.0,13.0,11.0
Story,Done,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,4.0,0.0,0.0,eric.bottard,94.0,Sprint 56,CLOSED,19-Aug-15,2-Sep-15,60.0,21.0,18.0,1.0,83.0,58.0,14.0,13.0
Story,Done,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,4.0,0.0,0.0,eric.bottard,96.0,Sprint 58,CLOSED,21-Sep-15,3-Oct-15,59.0,21.0,19.0,0.0,69.0,58.0,13.0,11.0
